YEAR,MO,DY,HR,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,SZA,T2M,PRECTOTCORR,RH2M,WS10M,WD10M
2018,8,1,0,-999.0,0.0,0.0,-999.0,24.53,0.0,71.69,5.25,104.84
2018,8,1,1,-999.0,0.0,0.0,-999.0,24.13,0.0,73.38,4.83,112.04
2018,8,1,2,-999.0,0.0,0.0,-999.0,23.84,0.0,74.44,4.5,119.05
2018,8,1,3,-999.0,0.0,0.0,-999.0,23.64,0.0,75.12,4.35,124.09
2018,8,1,4,-999.0,0.0,0.0,-999.0,23.49,0.0,75.56,4.35,126.75
2018,8,1,5,-999.0,0.0,0.0,-999.0,23.38,0.0,76.0,4.27,127.18
2018,8,1,6,-999.0,0.0,0.0,-999.0,23.26,0.0,76.69,3.92,127.3
2018,8,1,7,0.49,129.65,125.12,78.96,24.08,0.0,72.31,4.77,126.21
2018,8,1,8,0.63,351.95,347.38,65.58,25.99,0.0,61.88,5.73,123.5
2018,8,1,9,0.68,571.45,551.52,52.21,28.62,0.0,50.06,5.84,123.37
2018,8,1,10,0.7,747.27,712.23,39.83,31.48,0.0,39.88,5.42,125.32
2018,8,1,11,0.73,862.98,836.28,29.72,33.72,0.0,33.12,4.86,128.86
2018,8,1,12,0.73,909.7,867.5,24.84,35.26,0.0,29.38,4.4,133.27
2018,8,1,13,0.59,879.88,680.56,28.09,35.73,0.0,28.25,4.15,135.99
2018,8,1,14,0.57,778.1,595.4,37.41,35.66,0.0,28.44,4.0,134.84
2018,8,1,15,0.53,613.35,454.27,49.45,35.37,0.0,29.12,3.91,130.22
2018,8,1,16,0.52,397.17,318.55,62.67,34.6,0.0,30.88,3.95,124.54
2018,8,1,17,0.45,164.5,138.89,76.45,33.19,0.0,34.19,4.12,117.93
2018,8,1,18,0.31,9.55,11.09,88.47,31.23,0.0,39.69,3.55,110.91
2018,8,1,19,-999.0,0.0,0.0,-999.0,29.95,0.0,44.88,4.51,106.49
2018,8,1,20,-999.0,0.0,0.0,-999.0,28.65,0.0,51.69,5.54,104.37
2018,8,1,21,-999.0,0.0,0.0,-999.0,27.22,0.0,59.25,6.38,105.48
2018,8,1,22,-999.0,0.0,0.0,-999.0,26.0,0.0,65.25,6.36,110.28
2018,8,1,23,-999.0,0.0,0.0,-999.0,25.11,0.0,69.12,6.2,115.37
2018,8,2,0,-999.0,0.0,0.0,-999.0,24.5,0.0,70.94,5.97,119.32
2018,8,2,1,-999.0,0.0,0.0,-999.0,24.08,0.0,71.56,5.67,122.11
2018,8,2,2,-999.0,0.0,0.0,-999.0,23.71,0.0,72.25,5.34,124.09
2018,8,2,3,-999.0,0.0,0.0,-999.0,23.44,0.0,72.69,5.12,125.75
2018,8,2,4,-999.0,0.0,0.0,-999.0,23.23,0.0,73.06,4.9,127.16
2018,8,2,5,-999.0,0.0,0.0,-999.0,23.04,0.0,73.56,4.72,129.22
2018,8,2,6,-999.0,0.0,0.0,-999.0,22.88,0.0,74.12,4.62,132.19
2018,8,2,7,0.52,128.73,132.31,78.88,23.3,0.0,71.81,5.19,134.21
2018,8,2,8,0.65,350.95,356.4,65.49,24.72,0.0,64.56,5.79,134.95
2018,8,2,9,0.67,570.92,544.27,52.09,26.83,0.0,54.94,5.83,137.77
2018,8,2,10,0.63,747.2,643.05,39.66,29.36,0.0,45.5,5.39,143.31
2018,8,2,11,0.66,862.25,755.88,29.5,31.69,0.0,37.69,4.7,149.51
2018,8,2,12,0.67,907.77,803.42,24.59,33.82,0.0,31.62,3.94,154.76
2018,8,2,13,0.64,879.02,748.33,27.88,35.33,0.0,27.94,3.24,158.63
2018,8,2,14,0.62,778.6,649.28,37.26,36.01,0.0,26.25,2.75,161.1
2018,8,2,15,0.59,614.3,505.54,49.36,35.63,0.0,26.38,2.46,160.13
2018,8,2,16,0.6,403.12,363.38,62.61,34.83,0.0,27.31,2.37,153.94
2018,8,2,17,0.52,171.23,163.31,76.41,33.7,0.0,29.0,2.32,143.09
2018,8,2,18,0.37,10.12,12.93,88.46,31.51,0.0,34.25,1.66,124.06
2018,8,2,19,-999.0,0.0,0.0,-999.0,30.74,0.0,35.75,2.24,107.23
2018,8,2,20,-999.0,0.0,0.0,-999.0,30.28,0.0,37.56,4.03,101.53
2018,8,2,21,-999.0,0.0,0.0,-999.0,29.0,0.0,43.12,5.34,102.94
2018,8,2,22,-999.0,0.0,0.0,-999.0,27.02,0.0,51.88,7.26,109.88
2018,8,2,23,-999.0,0.0,0.0,-999.0,25.05,0.0,59.75,7.53,116.96
2018,8,3,0,-999.0,0.0,0.0,-999.0,23.58,0.0,65.38,7.1,124.14
2018,8,3,1,-999.0,0.0,0.0,-999.0,22.69,0.0,68.94,6.42,130.36
2018,8,3,2,-999.0,0.0,0.0,-999.0,22.08,0.0,71.69,5.84,133.97
2018,8,3,3,-999.0,0.0,0.0,-999.0,21.63,0.0,73.62,5.31,134.94
2018,8,3,4,-999.0,0.0,0.0,-999.0,21.22,0.0,75.0,4.77,134.54
2018,8,3,5,-999.0,0.0,0.0,-999.0,20.82,0.0,76.0,4.2,133.64
2018,8,3,6,-999.0,0.0,0.0,-999.0,20.45,0.0,76.81,3.72,131.68
2018,8,3,7,0.56,139.25,143.96,78.8,21.68,0.0,70.38,5.09,129.52
2018,8,3,8,0.68,368.73,375.41,65.41,24.24,0.0,57.75,5.88,126.41
2018,8,3,9,0.73,592.9,598.73,51.97,27.32,0.0,44.0,5.5,125.75
2018,8,3,10,0.76,773.75,772.35,39.5,30.43,0.0,33.25,4.8,128.06
2018,8,3,11,0.77,890.15,884.0,29.28,33.04,0.0,26.62,4.14,133.39
2018,8,3,12,0.77,941.4,927.98,24.34,34.95,0.0,23.06,3.66,139.5
2018,8,3,13,0.77,910.4,905.4,27.67,36.14,0.0,21.0,3.33,142.62
2018,8,3,14,0.75,807.3,794.17,37.11,36.67,0.0,19.94,3.07,139.65
2018,8,3,15,0.73,640.25,627.84,49.27,36.57,0.0,19.62,2.9,132.06
2018,8,3,16,0.7,424.08,424.46,62.55,35.88,0.0,20.06,2.95,122.01
2018,8,3,17,0.6,184.25,186.32,76.38,34.5,0.0,21.56,3.11,111.99
2018,8,3,18,0.31,11.2,11.09,88.45,30.62,0.0,27.69,2.52,101.8
2018,8,3,19,-999.0,0.0,0.0,-999.0,29.71,0.0,29.0,3.96,97.48
2018,8,3,20,-999.0,0.0,0.0,-999.0,28.87,0.0,32.38,5.64,97.8
2018,8,3,21,-999.0,0.0,0.0,-999.0,26.98,0.0,42.19,6.42,101.36
2018,8,3,22,-999.0,0.0,0.0,-999.0,25.05,0.0,55.06,7.13,108.79
2018,8,3,23,-999.0,0.0,0.0,-999.0,23.83,0.0,62.0,6.3,115.8
2018,8,4,0,-999.0,0.0,0.0,-999.0,23.07,0.0,65.12,5.35,120.09
2018,8,4,1,-999.0,0.0,0.0,-999.0,22.44,0.0,67.38,4.61,121.83
2018,8,4,2,-999.0,0.0,0.0,-999.0,21.83,0.0,69.38,3.89,121.87
2018,8,4,3,-999.0,0.0,0.0,-999.0,21.31,0.0,71.19,3.31,120.5
2018,8,4,4,-999.0,0.0,0.0,-999.0,20.62,0.0,74.0,1.93,124.59
2018,8,4,5,-999.0,0.0,0.0,-999.0,20.05,0.0,76.62,1.44,135.44
2018,8,4,6,-999.0,0.0,0.0,-999.0,19.73,0.0,77.88,1.55,145.67
2018,8,4,7,0.51,139.73,130.55,78.73,21.52,0.0,68.94,3.88,137.77
2018,8,4,8,0.6,368.42,332.65,65.31,24.48,0.0,55.06,5.46,127.21
2018,8,4,9,0.66,591.35,541.93,51.85,27.65,0.0,42.25,5.09,123.3
2018,8,4,10,0.7,770.98,711.73,39.34,30.63,0.0,32.94,4.38,120.4
2018,8,4,11,0.73,887.83,851.23,29.05,33.1,0.0,27.44,3.73,119.19
2018,8,4,12,0.73,932.6,883.42,24.08,34.95,0.0,24.31,3.22,119.18
2018,8,4,13,0.69,902.83,806.09,27.45,36.16,0.0,22.56,2.9,118.15
2018,8,4,14,0.72,801.95,762.62,36.97,36.69,0.0,22.0,2.74,116.2
2018,8,4,15,0.65,635.0,561.9,49.17,36.59,0.0,22.19,2.73,113.48
2018,8,4,16,0.63,419.52,387.54,62.49,35.92,0.0,23.19,2.84,110.28
